"STATISTIC Label","Year","Type of Milk","UNIT","VALUE"
"Milk Sales (Dairy) for Human Consumption","1992","All Milk","Million Litres","525.2"
"Milk Sales (Dairy) for Human Consumption","1993","All Milk","Million Litres","528.4"
"Milk Sales (Dairy) for Human Consumption","1994","All Milk","Million Litres","528.4"
"Milk Sales (Dairy) for Human Consumption","1995","All Milk","Million Litres","531.2"
"Milk Sales (Dairy) for Human Consumption","1996","All Milk","Million Litres","536"
"Milk Sales (Dairy) for Human Consumption","1997","All Milk","Million Litres","533"
"Milk Sales (Dairy) for Human Consumption","1998","All Milk","Million Litres","543.2"
"Milk Sales (Dairy) for Human Consumption","1999","All Milk","Million Litres","529.8"
"Milk Sales (Dairy) for Human Consumption","2000","All Milk","Million Litres","530.1"
"Milk Sales (Dairy) for Human Consumption","2001","All Milk","Million Litres","539.6"
"Milk Sales (Dairy) for Human Consumption","2002","All Milk","Million Litres","536.8"
"Milk Sales (Dairy) for Human Consumption","2003","All Milk","Million Litres","529.9"
"Milk Sales (Dairy) for Human Consumption","2004","All Milk","Million Litres","524"
"Milk Sales (Dairy) for Human Consumption","2005","All Milk","Million Litres","520.4"
"Milk Sales (Dairy) for Human Consumption","2006","All Milk","Million Litres","524"
"Milk Sales (Dairy) for Human Consumption","2007","All Milk","Million Litres","528.5"
"Milk Sales (Dairy) for Human Consumption","2008","All Milk","Million Litres","520.1"
"Milk Sales (Dairy) for Human Consumption","2009","All Milk","Million Litres","494.76"
"Milk Sales (Dairy) for Human Consumption","2010","All Milk","Million Litres","492.22"
"Milk Sales (Dairy) for Human Consumption","2011","All Milk","Million Litres","493.82"
"Milk Sales (Dairy) for Human Consumption","2012","All Milk","Million Litres","487"
"Milk Sales (Dairy) for Human Consumption","2013","All Milk","Million Litres","479.1"
"Milk Sales (Dairy) for Human Consumption","2014","All Milk","Million Litres","482.2"
"Milk Sales (Dairy) for Human Consumption","2015","All Milk","Million Litres","507.8"
"Milk Sales (Dairy) for Human Consumption","2016","All Milk","Million Litres","527"
"Milk Sales (Dairy) for Human Consumption","2017","All Milk","Million Litres","537.9"
"Milk Sales (Dairy) for Human Consumption","2018","All Milk","Million Litres","536.7"
"Milk Sales (Dairy) for Human Consumption","2019","All Milk","Million Litres","533.2"
"Milk Sales (Dairy) for Human Consumption","2020","All Milk","Million Litres","525.4"
"Milk Sales (Dairy) for Human Consumption","2021","All Milk","Million Litres","506.35"
"Milk Sales (Dairy) for Human Consumption","2022","All Milk","Million Litres","503.19"
"Milk Sales (Dairy) for Human Consumption","2023","All Milk","Million Litres","497.69"
"Milk Sales (Dairy) for Human Consumption","2024","All Milk","Million Litres","479.1"
"Milk Sales (Dairy) for Human Consumption","2025","All Milk","Million Litres","486"
