"STATISTIC Label","Year","Type of Animal","UNIT","VALUE"
"Farm Animals in December","2005","Dairy cows","Thousand","995.8"
"Farm Animals in December","2006","Dairy cows","Thousand","1022.8"
"Farm Animals in December","2007","Dairy cows","Thousand","1017.3"
"Farm Animals in December","2008","Dairy cows","Thousand","1024.1"
"Farm Animals in December","2009","Dairy cows","Thousand","1022.4"
"Farm Animals in December","2010","Dairy cows","Thousand","1006.9"
"Farm Animals in December","2011","Dairy cows","Thousand","1035.6"
"Farm Animals in December","2012","Dairy cows","Thousand","1060.3"
"Farm Animals in December","2013","Dairy cows","Thousand","1082.5"
"Farm Animals in December","2014","Dairy cows","Thousand","1127.7"
"Farm Animals in December","2015","Dairy cows","Thousand","1239.9"
"Farm Animals in December","2016","Dairy cows","Thousand","1295.2"
"Farm Animals in December","2017","Dairy cows","Thousand","1343.3"
"Farm Animals in December","2018","Dairy cows","Thousand","1369.1"
"Farm Animals in December","2019","Dairy cows","Thousand","1425.8"
"Farm Animals in December","2020","Dairy cows","Thousand","1456"
"Farm Animals in December","2021","Dairy cows","Thousand","1505.3"
"Farm Animals in December","2022","Dairy cows","Thousand","1510.3"
"Farm Animals in December","2023","Dairy cows","Thousand","1510.9"
"Farm Animals in December","2024","Dairy cows","Thousand","1481.3"
