country,year,milk_prod_1000t,butter_prod_1000t,cheese_prod_1000t,milk_powder_prod_1000t,dairy_cow_pop_1000,bovine_pop_1000,farmers_selling_price_100kg,milk_delivered_to_dairies_1000t,cream_direct_consumption_1000t,processed_drinking_milk_1000t
France,2016,26065.89,434.23,1918.97,516.27,3637.02,19559.3,31.1,24453.33,478.85,3294.44
France,2017,26006.31,412.72,1919.57,504.57,3596.84,19432.72,,24629.49,502.89,3229.51
France,2018,26022.5,417.41,1907.76,451.82,3554.23,18736.99,,24542.54,503.07,3102.61
France,2019,26036.29,419.22,1903.29,470.06,3490.81,18469.77,,24526.3,514.13,3007.98
France,2020,26288.53,417.54,1862.1,486.48,3405.68,18200.48,,24602.21,535.13,3067.96
France,2021,25829.08,410.18,1879.63,466.84,3322.03,17862.57,,24199.49,547.75,2802.19
France,2022,25681.54,412.73,1913.64,447.71,3230.86,17415.61,,24056.73,547.44,2687.18
France,2023,25050.5,403.97,1907.07,433.69,3164.6,17038.99,,23435.15,561.58,2674.92
France,2024,25244.57,398.08,1920.57,439.67,3075.18,16793.65,,23744.12,578.46,2654.03
Germany,2016,32687.64,506.93,2233.96,693.69,4217.7,12563.18,27.2,31972.73,585.99,4993.06
Germany,2017,32614.17,488.11,2216.55,708.0,4199.01,12365.5,35.1,31937.03,577.99,4743.28
Germany,2018,33109.66,474.88,2245.8,713.91,4100.86,12093.38,34.72,32490.94,552.21,4646.12
Germany,2019,33102.57,490.65,2297.4,707.61,4011.67,11763.43,33.7,32442.21,554.41,4522.96
Germany,2020,33188.89,497.3,2355.12,725.01,3921.41,11423.46,33.56,32548.98,529.98,4566.07
Germany,2021,32531.56,461.68,2360.9,666.39,3832.72,11176.24,36.4,31942.32,544.39,4379.69
Germany,2022,32421.62,459.18,2334.21,684.64,3809.72,10986.3,53.64,31947.42,525.33,4102.76
Germany,2023,34033.75,468.88,2360.52,676.78,3712.82,10936.8,46.09,32423.69,521.46,4031.86
Germany,2024,33792.59,477.45,2433.32,659.57,3589.43,10626.83,48.72,32124.7,527.48,3985.71
Ireland,2016,6871.94,229.8,206.1,393.3,1295.23,7221.2,27.25,6851.63,16.41,542.75
Ireland,2017,7498.94,257.5,219.9,442.9,1343.3,7363.5,36.31,7475.42,16.75,554.12
Ireland,2018,7831.25,270.3,225.4,463.0,1369.1,7348.5,33.87,7810.24,19.94,552.76
Ireland,2019,8244.87,284.6,278.4,497.8,1425.76,7208.62,32.53,8226.62,20.95,549.42
Ireland,2020,8561.47,293.9,285.4,522.7,1456.05,7314.43,33.03,8542.27,18.84,541.11
Ireland,2021,9039.99,305.9,286.9,516.2,1505.27,7358.88,38.31,9018.37,25.99,521.48
Ireland,2022,9108.28,299.4,282.5,600.9,1510.31,7396.15,57.24,9086.73,31.65,518.23
Ireland,2023,8730.71,299.3,284.9,528.4,1510.86,7341.48,41.29,8709.56,,512.56
Ireland,2024,8697.2,,271.2,,1481.31,7183.13,48.83,8678.63,,493.39
Italy,2016,12669.59,95.4,1232.23,,2060.47,6183.18,37.04,10773.15,131.29,2459.51
Italy,2017,12983.23,91.22,1261.13,,2040.11,6118.29,40.03,11902.24,132.12,2459.03
Italy,2018,13131.64,97.48,1308.03,,1939.48,6170.29,39.75,12070.75,141.48,2469.58
Italy,2019,13300.1,94.03,1327.3,25.76,1875.72,6016.06,42.62,11965.01,136.12,2298.86
Italy,2020,13509.51,92.25,1344.69,,1871.27,6115.87,39.08,11894.79,135.75,2313.83
Italy,2021,13997.97,94.15,1374.23,,1844.37,6173.66,40.89,13042.03,149.83,2481.46
Italy,2022,13971.68,94.46,1359.08,34.88,1865.0,6086.97,55.09,12808.16,148.57,2521.6
Italy,2023,13842.19,94.4,1344.11,35.41,1808.0,5975.0,55.02,12802.08,150.98,2509.71
Italy,2024,13973.39,95.37,1358.59,35.57,1764.0,5892.0,58.23,12958.05,159.89,2467.42
Netherlands,2016,14825.0,248.0,911.0,355.0,1794.0,4244.52,30.59,14324.2,,
Netherlands,2017,14822.0,248.0,896.0,420.0,1665.0,4096.11,38.28,14295.9,,
Netherlands,2018,14426.0,247.0,902.0,351.0,1552.0,3897.13,36.22,13880.8,,
Netherlands,2019,14944.0,229.53,953.26,357.92,1590.0,3749.97,35.87,13801.9,,
Netherlands,2020,14932.0,220.71,999.6,389.82,1569.0,3766.3,34.62,13986.6,,
Netherlands,2021,14607.88,217.69,984.05,360.22,1554.0,3731.75,37.74,13603.4,,
Netherlands,2022,14983.9,214.25,973.58,360.45,1570.0,3766.14,55.53,13762.0,,
Netherlands,2023,15117.05,206.7,1019.24,344.69,1552.0,3751.78,45.63,13893.9,,
Netherlands,2024,14815.69,,1009.16,345.33,1527.0,3693.0,49.84,13660.2,,
Poland,2016,13251.56,204.36,805.99,180.28,2129.9,5939.0,25.39,11129.96,258.72,1658.35
Poland,2017,13702.38,213.72,840.63,178.1,2152.9,6143.0,32.66,11647.09,264.8,1732.69
Poland,2018,14179.21,222.66,855.59,196.0,2214.1,6201.0,31.59,11945.62,262.15,1776.8
Poland,2019,14511.49,224.45,867.95,194.15,2166.9,6358.0,31.48,12174.96,254.52,1891.9
Poland,2020,14830.87,243.39,893.78,201.35,2125.7,6344.0,31.11,12457.39,259.43,1986.72
Poland,2021,14890.27,232.17,919.71,190.6,2035.2,6401.0,34.38,12515.42,259.89,1958.32
Poland,2022,15218.08,247.23,925.74,188.83,2037.28,6444.09,49.34,12778.58,265.67,1978.31
Poland,2023,15491.89,264.95,976.16,193.49,2243.33,6359.68,45.74,13020.61,261.56,1919.64
Poland,2024,16049.76,258.06,1024.1,194.7,1960.28,6335.85,48.95,13525.65,264.09,1908.6
