Model,Experiment,MAE,MSE,RMSE,R2 Score
Naive Forecast,Benchmark,337284.5833333333,143343977138.41666,378607.946480811,0.974052328312752
Linear Regression + Country,Country Encoded,343728.60793993424,181892959346.15405,426489.1081213611,0.9670743139296429
Ridge,Baseline,364618.1593601534,226854330981.23062,476292.27474443737,0.958935549168925
Ridge + Country,Country Encoded,362790.7350100681,234489323114.83444,484240.97628642956,0.9575534871306562
Decision Tree,Baseline,449324.2666666668,289340008852.6768,537903.3452700186,0.9476245901252968
Random Forest,Tuned,581867.7374992782,454134886990.1067,673895.3086274653,0.9177939444364234
Lasso,Baseline,523154.7356933292,466624718118.22974,683099.3471803569,0.9155330748553543
Lasso,Tuned,523154.7356933292,466624718118.22974,683099.3471803569,0.9155330748553543
Linear Regression,Baseline,523280.562178493,466814756124.15186,683238.4328506058,0.9154986747788098
Ridge,Tuned,645632.1199562546,553398914530.0399,743907.8669634028,0.8998254852909583
Random Forest,Baseline,686154.9196576456,607341810974.9119,779321.3784921544,0.8900609134215789
Decision Tree,Tuned,664603.7814814816,620669293835.9567,787825.6747758077,0.8876484147829937
Random Forest + Country,Country Encoded,697160.5403540835,623932827596.6395,789894.1875951737,0.8870576602619252
ElasticNet,Baseline,780065.6977284554,774103718735.9479,879831.642267967,0.8598742022746979
Ridge,Without Lag,874345.1081973101,1172651872457.0125,1082890.5172994232,0.7877302807039501
Random Forest,Without Lag,1115017.0350231647,1576491303117.6572,1255584.0486075224,0.7146285489790863
Decision Tree + Country,Country Encoded,1043165.1583333333,2352687020860.951,1533847.1308643997,0.5741240642346551
Decision Tree,Without Lag,1400749.468181818,3146643393723.1665,1773878.0661937185,0.4304046020828982
