country,year,non_salaried_labour_awu,salaried_labour_awu,total_labour_awu
France,2016,474.29,278.62,752.91
France,2017,464.81,280.85,745.66
France,2018,456.86,284.22,741.08
France,2019,446.71,288.2,734.92
France,2020,428.66,289.15,717.81
France,2021,421.49,293.03,714.52
France,2022,413.89,308.52,722.41
France,2023,395.96,307.89,703.85
France,2024,385.17,314.61,699.78
Germany,2016,267.9,212.1,480.0
Germany,2017,264.76,212.84,477.6
Germany,2018,261.65,212.35,474.0
Germany,2019,254.34,216.66,471.0
Germany,2020,250.98,218.02,469.0
Germany,2021,248.0,220.0,468.0
Germany,2022,242.48,221.35,463.83
Germany,2023,245.0,218.74,463.74
Germany,2024,226.19,227.0,453.19
Ireland,2016,147.5,13.2,160.7
Ireland,2017,144.5,14.76,159.26
Ireland,2018,142.5,15.92,158.42
Ireland,2019,140.5,17.28,157.78
Ireland,2020,138.0,18.94,156.94
Ireland,2021,138.0,18.94,156.94
Ireland,2022,138.0,18.94,156.94
Ireland,2023,145.36,21.89,167.25
Ireland,2024,145.36,21.89,167.25
Italy,2016,733.1,348.7,1081.8
Italy,2017,708.6,353.2,1061.8
Italy,2018,722.1,362.7,1084.8
Italy,2019,720.1,351.9,1072.0
Italy,2020,685.3,342.7,1028.0
Italy,2021,705.6,352.1,1057.7
Italy,2022,707.4,353.3,1060.7
Italy,2023,598.8,313.3,912.1
Italy,2024,594.6,323.0,917.6
Netherlands,2016,87.68,64.35,152.02
Netherlands,2017,89.36,65.93,155.29
Netherlands,2018,91.76,68.13,159.89
Netherlands,2019,91.14,70.13,161.27
Netherlands,2020,88.73,71.87,160.6
Netherlands,2021,88.61,72.41,161.02
Netherlands,2022,84.81,71.89,156.7
Netherlands,2023,86.09,71.31,157.41
Netherlands,2024,85.94,70.84,156.78
Poland,2016,1809.0,128.1,1937.1
Poland,2017,1503.8,172.0,1675.8
Poland,2018,1503.8,172.0,1675.8
Poland,2019,1503.8,172.0,1675.8
Poland,2020,1289.0,138.7,1427.7
Poland,2021,1288.9,138.6,1427.5
Poland,2022,1288.9,138.6,1427.5
Poland,2023,1252.6,114.0,1366.6
Poland,2024,1252.6,114.0,1366.6
