country,year,farmers_selling_price_100kg
Austria,2013,37.55
Austria,2014,39.46
Austria,2015,33.73
Austria,2016,31.33
Austria,2017,37.28
Austria,2018,40.4
Austria,2019,37.0
Austria,2020,37.74
Austria,2021,39.67
Austria,2022,50.1
Austria,2023,51.78
Austria,2024,50.32
Belgium,2013,37.11
Belgium,2014,36.12
Belgium,2015,27.93
Belgium,2016,26.61
Belgium,2017,35.0
Belgium,2018,32.13
Belgium,2019,33.03
Belgium,2020,31.32
Belgium,2021,31.32
Belgium,2022,31.32
Belgium,2023,42.73
Belgium,2024,46.56
Czechia,2013,
Czechia,2014,
Czechia,2015,
Germany,2013,38.05
Germany,2014,37.85
Germany,2015,29.59
Germany,2016,27.2
Germany,2017,35.1
Germany,2018,34.72
Germany,2019,33.7
Germany,2020,33.56
Germany,2021,36.4
Germany,2022,53.64
Germany,2023,46.09
Germany,2024,48.72
Denmark,2013,39.56
Denmark,2014,40.08
Denmark,2015,32.31
Denmark,2016,31.6
Denmark,2017,39.6
Denmark,2018,38.33
Denmark,2019,37.27
Denmark,2020,38.05
Denmark,2021,41.12
Denmark,2022,57.61
Denmark,2023,50.27
Denmark,2024,50.27
Estonia,2013,34.84
Estonia,2014,29.97
Estonia,2015,21.36
Estonia,2016,21.57
Estonia,2017,31.65
Estonia,2018,30.7
Estonia,2019,31.01
Estonia,2020,29.33
Estonia,2021,31.64
Estonia,2022,46.4
Estonia,2023,43.69
Estonia,2024,43.31
Greece,2013,44.42
Greece,2014,43.16
Greece,2015,41.84
Greece,2016,38.65
Greece,2017,38.75
Greece,2018,39.62
Greece,2019,38.36
Greece,2020,38.65
Greece,2021,39.44
Greece,2022,52.52
Greece,2023,52.51
Greece,2024,53.19
Spain,2013,33.83
Spain,2014,35.38
Spain,2015,31.37
Spain,2016,29.12
Spain,2017,30.95
Spain,2018,31.23
Spain,2019,31.85
Spain,2020,32.27
Spain,2021,33.26
Spain,2022,45.27
Spain,2023,53.05
Spain,2024,53.05
Finland,2013,45.9
Finland,2014,44.27
Finland,2015,37.58
Finland,2016,37.2
Finland,2017,37.74
Finland,2018,37.87
Finland,2019,38.04
Finland,2020,
Finland,2021,40.37
Finland,2022,49.93
Finland,2023,51.61
Finland,2024,47.14
France,2013,35.4
France,2014,38.8
France,2015,33.3
France,2016,31.1
Croatia,2013,34.2
Croatia,2014,35.6
Croatia,2015,32.59
Croatia,2016,29.77
Croatia,2017,31.61
Croatia,2018,35.02
Croatia,2019,35.56
Croatia,2020,35.69
Croatia,2021,35.92
Croatia,2022,44.66
Croatia,2023,52.92
Croatia,2024,50.84
Hungary,2013,33.43
Hungary,2014,34.18
Hungary,2015,26.5
Hungary,2016,24.26
Hungary,2017,31.2
Hungary,2018,30.41
Hungary,2019,31.48
Hungary,2020,30.34
Hungary,2021,31.91
Hungary,2022,44.19
Hungary,2023,46.04
Hungary,2024,44.24
Ireland,2013,37.76
Ireland,2014,36.42
Ireland,2015,28.64
Ireland,2016,27.25
Ireland,2017,36.31
Ireland,2018,33.87
Ireland,2019,32.53
Ireland,2020,33.03
Ireland,2021,38.31
Ireland,2022,57.24
Ireland,2023,41.29
Ireland,2024,48.83
Italy,2013,43.19
Italy,2014,43.22
Italy,2015,38.23
Italy,2016,37.04
Italy,2017,40.03
Italy,2018,39.75
Italy,2019,42.62
Italy,2020,39.08
Italy,2021,40.89
Italy,2022,55.09
Italy,2023,55.02
Italy,2024,58.23
Lithuania,2013,31.64
Lithuania,2014,28.03
Lithuania,2015,21.48
Lithuania,2016,21.27
Lithuania,2017,29.79
Lithuania,2018,28.18
Lithuania,2019,28.65
Lithuania,2020,28.05
Lithuania,2021,33.48
Lithuania,2022,50.86
Lithuania,2023,37.74
Lithuania,2024,43.78
Luxembourg,2013,36.9
Luxembourg,2014,37.5
Luxembourg,2015,29.66
Luxembourg,2016,27.88
Luxembourg,2017,35.36
Luxembourg,2018,33.56
Luxembourg,2019,33.83
Luxembourg,2020,34.65
Luxembourg,2021,36.96
Luxembourg,2022,51.6
Luxembourg,2023,46.17
Luxembourg,2024,47.46
Latvia,2013,30.74
Latvia,2014,29.06
Latvia,2015,21.61
Latvia,2016,21.45
Latvia,2017,30.59
Latvia,2018,28.34
Latvia,2019,29.35
Latvia,2020,28.09
Latvia,2021,31.8
Latvia,2022,47.12
Latvia,2023,35.68
Latvia,2024,40.63
Malta,2013,52.19
Malta,2014,46.84
Malta,2015,46.66
Malta,2016,
Malta,2017,
Malta,2018,
Malta,2019,
Malta,2020,
Malta,2021,
Malta,2022,62.34
Malta,2023,59.79
Malta,2024,60.71
Netherlands,2013,41.15
Netherlands,2014,40.75
Netherlands,2015,34.63
Netherlands,2016,30.59
Netherlands,2017,38.28
Netherlands,2018,36.22
Netherlands,2019,35.87
Netherlands,2020,34.62
Netherlands,2021,37.74
Netherlands,2022,55.53
Netherlands,2023,45.63
Netherlands,2024,49.84
Poland,2013,32.31
Poland,2014,32.77
Poland,2015,27.1
Poland,2016,25.39
Poland,2017,32.66
Poland,2018,31.59
Poland,2019,31.48
Poland,2020,31.11
Poland,2021,34.38
Poland,2022,49.34
Poland,2023,45.74
Poland,2024,48.95
Portugal,2013,32.81
Portugal,2014,34.44
Portugal,2015,29.22
Portugal,2016,27.21
Portugal,2017,29.03
Portugal,2018,30.13
Portugal,2019,30.08
Portugal,2020,29.74
Portugal,2021,29.94
Portugal,2022,41.43
Portugal,2023,48.51
Portugal,2024,43.5
Romania,2013,27.16
Romania,2014,28.13
Romania,2015,26.09
Romania,2016,25.61
Romania,2017,27.58
Romania,2018,27.29
Romania,2019,28.45
Romania,2020,29.14
Romania,2021,29.87
Romania,2022,38.93
Romania,2023,45.08
Romania,2024,43.82
Sweden,2013,42.42
Sweden,2014,41.33
Sweden,2015,33.5
Sweden,2016,32.56
Sweden,2017,40.02
Sweden,2018,36.54
Sweden,2019,37.36
Sweden,2020,38.29
Sweden,2021,41.84
Sweden,2022,53.72
Sweden,2023,45.64
Sweden,2024,49.22
Slovenia,2013,32.15
Slovenia,2014,35.49
Slovenia,2015,28.25
Slovenia,2016,25.0
Slovenia,2017,30.95
Slovenia,2018,29.13
Slovenia,2019,32.12
Slovenia,2020,30.87
Slovenia,2021,32.06
Slovenia,2022,45.67
Slovenia,2023,45.97
Slovenia,2024,44.82
Slovakia,2013,32.46
Slovakia,2014,34.54
Slovakia,2015,30.42
Slovakia,2016,28.46
Slovakia,2017,31.03
Slovakia,2018,33.14
Slovakia,2019,33.46
Slovakia,2020,33.5
Slovakia,2021,33.47
Slovakia,2022,42.6
Slovakia,2023,46.82
Slovakia,2024,43.78
United Kingdom,2013,36.17
United Kingdom,2014,37.95
United Kingdom,2015,32.76
United Kingdom,2016,26.81
United Kingdom,2017,31.86
United Kingdom,2018,32.19
United Kingdom,2019,31.96
